dataset,sample,assigned_cell_type,n_cells,PARK7_pct_detected,PARK7_mean_log2CPM,PARK7_median_log2CPM,PARK7_positive_mean_log2CPM,PARK7_detection_rank_within_sample
GSE148071,GSM4453604_P29,Fibroblasts,621,76.32850241545893,6.499350263502012,8.217889401630003,8.514971547752635,2.0
GSE148071,GSM4453604_P29,Myeloid cells,147,59.863945578231295,5.075875866063183,7.634779829775642,8.479019912628269,6.0
GSE148071,GSM4453604_P29,NK cells,1,100.0,8.775413815676028,8.775413815676028,8.775413815676028,1.0
GSE148071,GSM4453605_P30,B cells,7,42.857142857142854,3.53948164311006,0.0,8.25879050059014,9.0
GSE148071,GSM4453605_P30,Endothelial cells,23,73.91304347826086,5.876663536179734,7.201517658200214,7.9507800783608165,5.0
GSE148071,GSM4453605_P30,Epithelial/tumor,368,76.3586956521739,5.748921136087858,7.205903252581075,7.528836220926445,4.0
GSE148071,GSM4453605_P30,Fibroblasts,13,46.15384615384615,3.434395500482845,0.0,7.441190251046163,8.0
GSE148071,GSM4453605_P30,Low-confidence/other,9,66.66666666666666,5.505851098068992,7.413070121320938,8.258776647103488,6.0
GSE148071,GSM4453605_P30,Myeloid cells,282,57.09219858156028,4.522080858891367,7.020666211214937,7.920663367747611,7.0
GSE148071,GSM4453605_P30,NK cells,1,100.0,7.996822239339634,7.996822239339634,7.996822239339634,1.0
GSE148071,GSM4453605_P30,Plasma cells,34,76.47058823529412,5.65824950276312,7.132193871180268,7.399249349767157,3.0
GSE148071,GSM4453605_P30,T cells,5,80.0,7.356260238097697,8.95619468308292,9.195325297622121,2.0
GSE148071,GSM4453606_P31,Endothelial cells,1,100.0,8.742032752274566,8.742032752274566,8.742032752274566,1.0
GSE148071,GSM4453606_P31,Epithelial/tumor,247,77.32793522267207,6.242007375658925,7.852848347724145,8.072124721401856,3.0
GSE148071,GSM4453606_P31,Fibroblasts,2,100.0,10.392365313739761,10.392365313739761,10.392365313739761,1.0
GSE148071,GSM4453606_P31,Myeloid cells,118,61.86440677966102,5.227489417436488,7.6152599728944415,8.449914400787746,4.0
GSE148071,GSM4453606_P31,Plasma cells,16,25.0,1.9000757005741908,0.0,7.600302802296763,5.0
GSE148071,GSM4453606_P31,T cells,3,0.0,0.0,0.0,0.0,6.0
GSE148071,GSM4453607_P32,B cells,87,19.54022988505747,1.8750259677833452,0.0,9.595721129244179,6.0
GSE148071,GSM4453607_P32,Endothelial cells,7,28.57142857142857,2.3417900952244834,0.0,8.196265333285693,4.0
GSE148071,GSM4453607_P32,Epithelial/tumor,274,57.299270072992705,4.926400228865889,7.363901434744633,8.597666641460213,1.0
GSE148071,GSM4453607_P32,Fibroblasts,4,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453607_P32,Low-confidence/other,8,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453607_P32,Mast cells,10,0.0,0.0,0.0,0.0,8.0
GSE148071,GSM4453607_P32,Myeloid cells,77,42.857142857142854,3.731985094903319,0.0,8.707965221441077,2.0
GSE148071,GSM4453607_P32,NK cells,6,33.33333333333333,3.250383202402825,0.0,9.751149607208475,3.0
GSE148071,GSM4453607_P32,Plasma cells,44,25.0,2.294344293922081,0.0,9.177377175688324,5.0
GSE148071,GSM4453607_P32,T cells,78,16.666666666666664,1.6794277723790496,0.0,10.076566634274297,7.0
GSE148071,GSM4453608_P33,B cells,40,50.0,4.619844717314966,3.7969637296838843,9.239689434629932,5.0
GSE148071,GSM4453608_P33,Endothelial cells,2,50.0,3.691982657294512,3.691982657294512,7.383965314589024,5.0
GSE148071,GSM4453608_P33,Epithelial/tumor,259,87.64478764478764,7.516035529488442,8.547345426463787,8.57556476712558,2.0
