dataset,sample,cell_group,n_cells,PARK7_cutoff_log2CPM,UPR_ER_stress_score_high_mean,UPR_ER_stress_score_low_mean,UPR_ER_stress_score_delta_high_minus_low,UPR_ER_stress_score_mannwhitney_p,NRF2_redox_score_high_mean,NRF2_redox_score_low_mean,NRF2_redox_score_delta_high_minus_low,NRF2_redox_score_mannwhitney_p,Ribosome_translation_score_high_mean,Ribosome_translation_score_low_mean,Ribosome_translation_score_delta_high_minus_low,Ribosome_translation_score_mannwhitney_p,Apoptosis_DDR_score_high_mean,Apoptosis_DDR_score_low_mean,Apoptosis_DDR_score_delta_high_minus_low,Apoptosis_DDR_score_mannwhitney_p,UPR_ER_stress_score_mannwhitney_fdr,NRF2_redox_score_mannwhitney_fdr,Ribosome_translation_score_mannwhitney_fdr,Apoptosis_DDR_score_mannwhitney_fdr
GSE148071,GSM4453590_P15,B-lineage combined,161,10.299718417520815,3.0709086303183932,4.353374543405802,-1.2824659130874085,0.13455778584511702,2.1645743137790077,1.209285088090368,0.9552892256886396,0.019080182736778823,4.271243785071149,4.129983864149348,0.14125992092180084,0.6845474501915548,0.9755879332825191,1.0405428634683016,-0.06495493018578247,0.8983521173567499,0.7849039587552451,0.03456033099492013,1.0,0.9412708557177778
GSE148071,GSM4453591_P16,B cells,17,8.640567326176958,3.0074451838833074,3.7518617928098563,-0.7444166089265489,0.5911764705882353,1.7880975777664077,2.8140206337178326,-1.025923055951425,0.12058823529411763,5.344575968065001,5.490341065028395,-0.14576509696339368,0.7676470588235295,0.5443757182043544,0.613595168070159,-0.06921944986580464,0.8249930877884685,0.80334599478127,0.15034377387318562,1.0,0.920922516601081
GSE148071,GSM4453591_P16,Plasma cells,50,8.640567326176958,5.794136144005443,5.2603552679489205,0.5337808760565226,0.34953868672185046,4.292747965223476,2.4458564343764384,1.8468915308470373,0.007821319365164425,7.626084856425237,7.2728855735243965,0.35319928290084057,1.0,2.3017073564840245,1.4552579727826933,0.8464493837013312,0.045622947681504974,0.7849039587552451,0.01632275345773445,1.0,0.4866447752693864
GSE148071,GSM4453591_P16,B-lineage combined,67,8.640567326176958,4.958128855968803,4.889848098616518,0.06828075735228456,0.6160414893647346,3.5413528489863553,2.5362827289515177,1.0050701200348375,0.1110990439371942,6.941632189917167,6.835067624069237,0.10656456584792995,0.881111168548594,1.7745078650001234,1.2485337751340009,0.5259740898661225,0.15330185171496097,0.80334599478127,0.14142486854368197,1.0,0.5931812970639164
GSE148071,GSM4453592_P17,Plasma cells,43,8.511838807172829,3.9561342832329913,5.507502538178187,-1.5513682549451957,0.05736828016435146,3.354808518572536,3.476844725211647,-0.12203620663911119,1.0,6.564954706866814,7.43561687509163,-0.8706621682248157,0.3915004148756426,1.4878783682040226,2.2533813236152773,-0.7655029554112547,0.37289426224179856,0.6454897834433462,1.0,0.8170443440882975,0.7261521618059471
GSE148071,GSM4453592_P17,B-lineage combined,44,8.511838807172829,3.8842705034840095,5.507502538178187,-1.6232320346941775,0.025299675775837818,3.228300990886008,3.476844725211647,-0.24854373432563914,0.8431885700900554,5.744335368508462,7.43561687509163,-1.6912815065831674,0.17921550076668447,1.3018935721785199,2.2533813236152773,-0.9514877514367575,0.1940342141071838,0.6215481486337961,0.8611287524323971,0.4779080020444919,0.5931812970639164
GSE148071,GSM4453593_P18,B cells,25,8.490054426159041,4.451020350274692,3.5885220627035617,0.86249828757113,0.14883654687670958,4.652025004072659,3.0927803510945324,1.5592446529781263,0.025335586736179114,4.64582844930656,4.841856936255902,-0.19602848694934227,0.9323243733483333,1.2330749379207493,1.0164116107007568,0.21666332721999249,0.7835334477953143,0.7849039587552451,0.04422211503042173,1.0,0.920922516601081
GSE148071,GSM4453593_P18,Plasma cells,57,8.490054426159041,6.33493741696301,5.829068274103161,0.505869142859849,0.9237860230908893,3.0162868541915726,2.377312902345174,0.6389739518463986,0.2865458153179997,8.375083439034436,6.505990897714341,1.8690925413200947,0.11983121516388646,1.2898677017921834,1.2220940998158727,0.06777360197631066,0.8704618002358994,0.9699063929463468,0.32748093179199966,0.44245371752819623,0.9373661939362422
GSE148071,GSM4453593_P18,B-lineage combined,82,8.490054426159041,5.123847874091948,5.301880930244431,-0.17803305615248366,0.4940050170355199,4.067832807686556,2.545658184403846,1.52217462328271,0.007480449797727622,5.977705231352229,6.1144299656064725,-0.13672473425424325,0.9459614819815232,1.2533580678748328,1.1736982200240806,0.0796598478507522,0.8602119413168954,0.7999999999999998,0.015958292901818927,1.0,0.9373661939362422
GSE148071,GSM4453594_P19,B cells,35,9.76580856953812,2.001218839283114,2.719102709535001,-0.717883870251887,0.40906722788228844,3.2919694192756572,2.7836369080044716,0.5083325112711856,0.4939652357537817,7.047863798057151,6.899263503166853,0.14860029489029714,1.0,0.6885188778591136,0.9142417841982851,-0.22572290633917147,0.7697057146530955,0.7854090775339938,0.5268962514707005,1.0,0.920922516601081
GSE148071,GSM4453594_P19,B-lineage combined,42,9.76580856953812,2.001218839283114,3.2044080719501196,-1.2031892326670057,0.24375636879775353,3.2919694192756572,2.55420590603842,0.7377635132372373,0.2941393937884943,7.047863798057151,6.642533005764764,0.40533079229238655,0.821312192300639,0.6885188778591136,1.0273800720315103,-0.3388611941723967,0.6204795304692331,0.7849039587552451,0.3322044918081818,1.0,0.8568229119281334
GSE148071,GSM4453595_P20,Plasma cells,17,7.286204379056805,5.79502948660227,5.456567743371205,0.3384617432310648,0.7676470588235295,5.1318229134811775,2.398646079842017,2.7331768336391606,0.0643660284017885,9.42271312860129,8.37753412208622,1.0451790065150703,0.4323529411764706,2.3220890324640338,1.490253187583128,0.8318358448809058,0.1831703277765645,0.8987087517934004,0.0908696871554661,0.8470588235294119,0.5931812970639164
GSE148071,GSM4453595_P20,B-lineage combined,20,7.286204379056805,5.79502948660227,5.092650447606672,0.7023790389955984,0.9210526315789475,5.1318229134811775,2.424030158558769,2.7077927549224086,0.04271689123434012,9.42271312860129,8.369393764529221,1.0533193640720686,0.30526315789473685,2.3220890324640338,1.4997422109184344,0.8223468215455993,0.19800182604999372,0.9699063929463468,0.06614228320155889,0.751417004048583,0.5931812970639164
GSE148071,GSM4453596_P21,B cells,23,7.791315131925456,5.566076172849359,5.148867284760738,0.4172088880886209,0.587357722369164,3.6171458192016033,1.9668670108227697,1.6502788083788336,0.040193244255893844,8.97084072391261,8.874696414263623,0.09614430964898801,0.8006181461559035,0.8169498621372215,1.4044489195634737,-0.5874990574262522,0.20905050009809978,0.80334599478127,0.06430919080943015,1.0,0.5931812970639164
GSE148071,GSM4453596_P21,Plasma cells,869,7.791315131925456,7.5601881036196295,7.14665964803382,0.4135284555858094,0.00011868059433870945,4.326390199407244,3.0855655078271194,1.2408246915801242,1.8240392381530317e-20,9.34363236006493,8.763833770992127,0.5797985890728032,1.3019421363028693e-06,1.4593638938765807,1.4101297632269172,0.04923413064966353,0.43802320558292995,0.005696668528258054,4.377694171567277e-19,9.67818966839638e-05,0.7665159102387132
GSE148071,GSM4453596_P21,B-lineage combined,892,7.791315131925456,7.519325154218599,7.091165415720678,0.42815973849792144,7.793540756823452e-05,4.311856503091553,3.054490549576998,1.257365953514555,2.3428846420012017e-21,9.335993187192955,8.766913288860778,0.569079898332177,2.0162895142492457e-06,1.4461996719147086,1.4099719620140434,0.03622770990066515,0.5353509308643606,0.005696668528258054,1.124584628160577e-19,9.67818966839638e-05,0.7906721440458249
GSE148071,GSM4453597_P22,B cells,23,9.82072524263012,3.4955081290827756,4.253597375589296,-0.7580892465065201,0.5138339920948616,2.6689064528113673,1.0300753115964496,1.6388311412149177,0.06645580307153243,8.982104200234362,7.437475818314565,1.5446283819197975,0.634669678147939,1.7935076002417192,1.1732065465709414,0.6203010536707778,0.2631786937076366,0.7999999999999998,0.09246024775169728,1.0,0.6648724893666609
GSE148071,GSM4453597_P22,B-lineage combined,29,9.82072524263012,4.152545474596218,4.637042208409173,-0.48449673381295444,0.7374847374847374,2.54727568642131,1.0393043992790678,1.5079712871422422,0.03455445459161107,7.907364905558771,7.788997998475736,0.11836690708303532,0.8787840511978442,1.7543275852908777,1.2814339431760795,0.47289364211479823,0.3518943460210272,0.8836542102951311,0.05819697615429233,1.0,0.7261521618059471
GSE148071,GSM4453598_P23,Plasma cells,284,7.976343980693615,6.9075954458136835,7.170661729901711,-0.2630662840880271,0.5583719743419405,4.217664463392056,3.335690777830012,0.8819736855620444,0.013491558966103698,9.050544111403893,8.789676575918204,0.26086753548568886,0.674328029855461,2.088901761037503,2.11547788068191,-0.02657611964440676,0.9340910672519667,0.80334599478127,0.02539587570090108,1.0,0.9439236048019873
GSE148071,GSM4453598_P23,B-lineage combined,288,7.976343980693615,6.825381348971964,7.145385549538843,-0.3200042005668786,0.4477933288019287,4.213450947706002,3.312423517432629,0.9010274302733725,0.010251040013995162,9.09800453758632,8.799012794711043,0.29899174287527686,0.5594914697994989,2.0680989653285033,2.1109378083485417,-0.042838843020038375,0.8173296896564136,0.7970665321707213,0.019860090771813124,0.9591282339419981,0.920922516601081
GSE148071,GSM4453599_P24,B cells,14,7.7715522999202085,4.078152133944446,1.9338326429338257,2.14431949101062,0.2128247439705464,4.562254279708575,1.0966012543489208,3.465653025359654,0.11196135426374823,10.507651210102312,8.78389201445188,1.7237591956504321,0.5714285714285714,1.5859480520895068,0.48447376845889756,1.1014742836306093,0.3857683359594094,0.7849039587552451,0.14142486854368197,0.9624060150375939,0.7261521618059471
GSE148071,GSM4453599_P24,Plasma cells,128,7.7715522999202085,5.8256011659448905,4.819157209669364,1.0064439562755263,0.18917891981377244,3.2596810195528554,1.41352033618473,1.8461606833681254,2.5297128992069738e-06,8.302421151981692,7.365333099548769,0.937088052432923,0.09647909528875237,1.3154821257563851,0.8516895884548422,0.4637925373015429,0.08412087084050224,0.7849039587552451,1.5178277395241843e-05,0.4410472927485823,0.5931812970639164
GSE148071,GSM4453599_P24,B-lineage combined,142,7.7715522999202085,5.733630164260656,4.514204206681057,1.2194259575795998,0.09558342090244201,3.3282375069294723,1.380024823470376,1.9482126834590963,6.111400797052806e-07,8.418485891882778,7.515262090554788,0.9032238013279894,0.10828812832759975,1.32971717451076,0.8128781603251896,0.5168390141855705,0.044641202957943514,0.7157298723023127,4.5130344347466875e-06,0.44245371752819623,0.4866447752693864
GSE148071,GSM4453603_P28,B cells,40,8.016796790734402,3.321067466498419,3.3127092946387666,0.008358171859652597,0.9590277265177982,2.4873847864742693,2.387882273221119,0.0995025132531504,0.8371855018482021,6.723740094668415,6.422197271635124,0.30154282303329083,0.9615384615384618,0.5440913144327825,0.8225411984462373,-0.27844988401345483,0.9104543166404939,0.9794325717628578,0.8611287524323971,1.0,0.9412708557177778
