TCGA_patient,CD79B,TP63,HMOX1,CD40,GSR,CD79A,NKG7,NFE2L2,PARK7,EPCAM,CAT,JCHAIN,TXN,SOD1,MS4A1,CD3D,MZB1,CD19,NQO1,KRT5,LST1,GPX1,B_lineage_marker_module,NRF2_redox_marker_module,Squamous_epithelial_module
TCGA-18-3406,2.3557210837366656,7.050569172552961,4.583771786075068,5.309238045049916,4.652968268874645,6.420735023419019,4.613673086675296,6.696400070479834,7.513928098867406,5.733058720554992,5.444693567242178,11.721402866271616,8.820066606568002,7.945262976048848,1.9531907273403677,5.240745546733317,7.0290353891273485,2.014676649643325,4.088073735675614,12.469584917161066,4.61793316664953,8.310974886747637,5.257714254941179,6.317776487213978,8.417737603423006
TCGA-18-3407,2.7452803648970754,9.06742118417128,6.000777493255573,4.658817001896605,7.817301556927978,7.185270914323008,4.152645851218814,8.12404219412531,7.29530517747505,7.915657132916927,6.012050139731359,10.487865451554946,10.324449029464096,8.011069556881614,2.47793631599449,4.148901574395426,6.689236250950314,2.327802315376529,8.456278427745596,11.636537304040065,2.795039599624365,8.529882228539197,5.224601230713281,7.9094813283338405,9.539871873709425
TCGA-18-3408,1.4326922167871696,8.738781682823795,5.65451001095134,4.4066591117780565,9.27651713717397,3.9424582039463902,3.834792104764455,8.496352091561517,7.622201939809835,8.340360644358789,7.25141802640242,10.372876048924368,11.20981490795309,8.563589455537388,2.0968690337528155,5.420613770710282,4.090633284130468,0.9796595517158244,8.974849627264314,10.375159904389015,4.656902464654363,6.737846270971268,3.9031210644335848,8.270612190976914,9.151434077190533
TCGA-18-3409,1.3850444259596073,8.413101101078054,7.0735771221217085,4.985008518596685,6.338265730996859,2.763793976079338,3.631779477952857,6.633793001274341,8.025170575734906,7.102374687004541,6.858638763843111,7.719557895577807,8.574907196630118,8.176838356203604,0.5261689953446452,4.810910901297373,3.2757669449317075,0.4072983601037884,5.660352509670921,11.450086247209734,4.74857930589137,9.508932691625478,3.0089484452276545,7.353163171545768,8.988520678430776
TCGA-18-3410,2.7573219985692967,6.0614846055003895,5.981658606888423,7.658669929812457,6.946465359240863,6.002234446064686,6.630802961682624,6.587384494793321,8.143213295071812,6.726880250396236,6.436395072153356,9.928946604847406,8.545109660642783,8.458592808341916,1.543891765994185,6.2499098565760125,6.123748955383479,1.871331124817165,6.827801244815356,12.710766190898733,4.462497364767375,10.23413531213136,5.126592117926954,7.502192819875923,8.499710348931787
TCGA-18-3411,1.6080522204669492,8.034115549164868,7.455514635178914,4.68500383040852,9.525664288454724,4.322627632358066,5.131774665496417,7.313876167453226,7.812029016445648,9.478245220293458,6.347135885889933,9.978589204715153,10.815524275937625,8.397065770597127,1.3894566781666653,4.218517708544898,5.423282341110974,1.1190241031422743,10.36459574021162,11.066678731210873,4.528915074392194,10.520082947418928,4.075148001481229,8.842432463892763,9.526346500223065
TCGA-18-3412,1.5031960609474675,8.416055620654205,5.666847467450383,4.63080150587439,6.99266421222474,4.147982295018093,4.388988516564941,7.774671112326884,7.505709946509314,9.452694058210662,5.965551126303777,8.57785855119182,11.143873659686436,8.72793304406405,1.5821224067987452,4.065460296760623,4.109828565307087,1.3054452785535526,10.348546256978784,13.745071219491225,3.8299611564106297,9.773890366711898,3.6938906662415936,8.29924715571837,10.53794029945203
TCGA-18-3414,1.9316452401803976,7.080603305460163,5.698518545368774,5.070445145369733,7.516969324234811,4.375456535876662,5.245727625395904,7.467270512504075,7.934100687906719,6.006724395329241,6.79606167913627,7.7396206389280735,9.437126595546037,8.103662860368011,2.1474695219891893,4.568287534062428,3.541341368618248,1.1207500533349255,6.68922087263437,12.264783675178355,4.231555290356041,9.422132272626664,3.7038183577567465,7.641370332802376,8.450703791989254
TCGA-18-3415,2.404112910375825,8.670492321326064,8.71135448484112,5.480904885240443,8.73946368826601,5.034167284210525,6.3481173135359095,7.81338551792325,7.900221374504336,8.262424700791634,6.548259359607737,10.164095245261212,11.518911283532942,8.714874670297785,2.169347807979567,5.799732332592257,5.862823299823681,1.8006203911160377,9.543386068624766,12.6821752003795,4.554306424154548,9.934695765829389,4.702295974858184,8.940541354865374,9.871697407499065
TCGA-18-3416,2.4814022827632454,8.216665355990758,5.899091019543621,5.630990748627919,8.743416677466941,6.284515983991007,7.966470844113361,8.963347246776788,8.245700533330146,9.445653464459584,6.481009869774299,8.447134484377871,12.118776295085222,8.884047770308584,3.770459076793153,7.057441607322799,6.684239467841824,3.277300420365284,7.959328517239983,13.787372569468458,4.533650555123537,8.865728631953495,5.225148923537186,8.489343253518616,10.483230463306265
