B-cell subtype,Gene,LUAD PP4,LUSC PP4,Delta PP4,Figure,PARK7_locus_SMR_P,PARK7_locus_HEIDI_P,PARK7_locus_HEIDI_nsnp
bmem,PARK7,0.03616,0.382136,0.345976,Fig. 3; Supplementary Fig. S3,0.01276,0.230726,20
bin,PARK7,0.036436,0.373295,0.336858,Fig. 3; Supplementary Fig. S3,0.01276,0.230726,20
