Drug Name,Connectivity Score
AZD-7762,-1.6715
AZ-20,-1.5729
ketoprofen,-1.5536
BAY-K8644,-1.5146
AP-26113,-1.4834
SCH-28080,-1.4457
vicriviroc,-1.4195
LY-2603618,-1.4061
eptifibatide,-1.3903
clindamycin,-1.3784
voxtalisib,-1.3731
loratadine,-1.3702
telatinib,-1.3676
doxorubicin,-1.3637
GSK-1059615,-1.3435
