Specimen_type,n_cases,mean_reader_hscore,sd_reader_hscore,median_reader_hscore,biopsy_vs_surgery_mannwhitney_p
Biopsy,13,201.53846153846155,30.644780372888363,205.0,0.6068298554544911
Surgery,2,177.5,45.96194077712559,177.5,0.6068298554544911
