image_file,specimen_compartment,field_roi_type,roi_x,roi_y,tissue_fraction,dab_od_mean,weak_1plus_percent,moderate_2plus_percent,strong_3plus_percent,image_roi_hscore
S6C_PARK7_IHC_Biopsy_overview_original_deidentified.png,Biopsy,overview,256,0,0.2020263671875,0.5815150270350624,12.077039274924472,16.993957703927492,70.92900302114803,258.85196374622353
S6C_PARK7_IHC_Biopsy_overview_original_deidentified.png,Biopsy,overview,256,256,0.244598388671875,0.5940482683116415,7.1366188396756085,14.504054897067997,78.35932626325639,271.2227074235808
S6C_PARK7_IHC_Biopsy_overview_original_deidentified.png,Biopsy,overview,512,256,0.4656982421875,0.8190254207342978,6.009174311926606,13.728702490170381,80.26212319790301,274.25294888597637
S6C_PARK7_IHC_Biopsy_overview_original_deidentified.png,Biopsy,overview,256,512,0.2093353271484375,0.7774290046845421,7.697354034550623,11.750127560317807,80.55251840513156,272.85516437058095
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,256,0,0.5500946044921875,1.6976456343657174,2.1913400460458794,5.361848492413525,92.44681146154059,290.2554714154947
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,512,0,0.7950439453125,1.5350550112339398,1.7196376477813604,8.676877015200368,89.60348533701827,287.8838476892369
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,768,0,0.7735595703125,1.0175115552078113,3.870127820735364,16.166955972857817,79.96291620640682,276.09278838567144
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,256,256,0.8805389404296875,1.4378518569239194,2.8956625712651842,11.206612715961668,85.89772471277315,283.002062141508
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,512,256,0.918182373046875,1.3780696370799008,2.99298700435404,10.959883005949415,86.04712998969654,283.0541429853425
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,768,256,0.71453857421875,0.774059657173123,9.673699496028016,25.21141197574101,65.11488852823098,255.44118903220297
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,256,512,0.8937530517578125,0.9783926002195625,9.06390316357366,22.155259249142095,68.78083758728424,259.7169344237106
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,512,512,0.94427490234375,1.2276297887036123,2.2994635123779976,9.07181177687286,88.62872471074914,286.32926119837117
S6D_PARK7_IHC_Biopsy_matched_field_original_deidentified.png,Biopsy,matched_field,768,512,0.6328125,1.2798213894745532,2.2738233024691357,4.2486496913580245,93.47752700617285,291.2037037037037
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,256,0,0.53924560546875,0.8568896584683513,5.766836445953594,7.569326542161857,86.66383701188455,280.89700056593097
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,512,0,0.5149688720703125,0.8613858909742426,8.346913982636522,10.681797979199384,80.97128803816409,272.62437405552754
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,768,0,0.2415618896484375,0.7844221193538481,10.649990524919462,11.218495357210537,78.13151411787001,267.48152359295057
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,0,256,0.3976593017578125,0.8337312116851229,7.106404205517823,9.193814512106211,83.69978128237597,276.59337707685813
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,256,256,0.977630615234375,1.0569478141679634,0.6680193538317465,0.9489620727329484,98.38301857343531,297.71499921960356
S6G_PARK7_IHC_Surgery_overview_original_deidentified.png,Surgery,overview,512,256,0.9401092529296875,0.9398862716945762,1.4072162438525588,1.9087500608657544,96.68403369528168,295.2768174514291
