distance_bin,n_spots,Antioxidant_z_mean,Antioxidant_z_median,B_cell_density_z_mean,Both_high_fraction,global_spearman_dist_to_B_vs_antioxidant_z,global_spearman_p
B-high spot,698,-0.21402771881289398,-0.49061504,1.9081786540114616,0.18051575931232092,0.06283466843089577,9.405724417064063e-05
<=1 grid,0,,,,,0.06283466843089577,9.405724417064063e-05
1-2 grids,1786,0.06164196782463608,0.11098804,-0.42149004000000007,0.0,0.06283466843089577,9.405724417064063e-05
2-5 grids,1158,0.028626788806390358,0.11098804,-0.4214900400000001,0.0,0.06283466843089577,9.405724417064063e-05
>5 grids,216,0.028466417773148157,0.28694567,-0.42149004000000007,0.0,0.06283466843089577,9.405724417064063e-05
