threshold,B_threshold,Antioxidant_threshold,n_spots,B_high,Antioxidant_high,Both_high_observed,Both_high_expected_independence,Observed_over_expected,Fisher_OR,Fisher_CI_low,Fisher_CI_high,Fisher_P,Permutation_mean_overlap,Permutation_p_lower_or_equal,Permutation_p_upper_or_equal
top10_norm,0.63092977,0.9411907742761342,3858,386,386,28,38.62001036806635,0.7250127520201886,0.690645005047764,0.4644324972890087,1.027039506885761,0.06022615289788581,38.947,0.03,0.977
top20_norm,0.0,0.8327062584122332,3858,772,772,118,154.4800414722654,0.7638527208784129,0.6729021214708538,0.5433415079878215,0.8333566613690863,0.00019438865042339845,154.956,0.001,1.0
top25_norm,0.0,0.7820322303790603,3858,964,964,197,240.87506480041472,0.8178513627520188,0.7133126080913326,0.597702745183367,0.8512841558155494,0.00015459927728639182,241.055,0.0,1.0
median_norm,0.0,0.4795008782415942,3858,698,1919,245,347.1907724209435,0.7056639158109748,0.480567024071758,0.4053212545730667,0.5697817768486986,9.417085061438603e-18,347.376,0.0,1.0
z_gt_1,1.0,1.0,3858,698,818,112,147.9948159668222,0.7567832647942777,0.6664005951314339,0.5356533171236196,0.8290618931965673,0.00018396781052062834,147.953,0.0,1.0
