n_instruments,beta,se,p,OR,CI_low,CI_high,clump_r2,outcome_id,outcome_label,analysis_role,cases,controls,ancestry
1,0.20557617716893464,0.10397068441757182,0.04801322471748485,1.2282325406760088,1.0017952452371826,1.50585180070233,0.001,GCST004750,Lung squamous cell carcinoma,Primary LUSC outcome,7426,55627,European
1,0.1165575464239048,0.0641956839474015,0.06942251747717323,1.1236221690444,0.990776802922749,1.2742797116804132,0.001,GCST004748,Overall lung cancer,Histology-unspecific sensitivity outcome,29266,56450,European
1,0.20557617716893464,0.10397068441757182,0.04801322471748485,1.2282325406760088,1.0017952452371826,1.50585180070233,0.01,GCST004750,Lung squamous cell carcinoma,Primary LUSC outcome,7426,55627,European
1,0.1165575464239048,0.0641956839474015,0.06942251747717323,1.1236221690444,0.990776802922749,1.2742797116804132,0.01,GCST004748,Overall lung cancer,Histology-unspecific sensitivity outcome,29266,56450,European
1,0.20557617716893464,0.10397068441757182,0.04801322471748485,1.2282325406760088,1.0017952452371826,1.50585180070233,0.1,GCST004750,Lung squamous cell carcinoma,Primary LUSC outcome,7426,55627,European
1,0.1165575464239048,0.0641956839474015,0.06942251747717323,1.1236221690444,0.990776802922749,1.2742797116804132,0.1,GCST004748,Overall lung cancer,Histology-unspecific sensitivity outcome,29266,56450,European
