threshold,score_scale,quantile,strict_greater_than,B_cutoff,antioxidant_cutoff,n_spots,B_high,antioxidant_high,both_high_observed,both_high_expected_independence,observed_over_expected,fisher_odds_ratio,fisher_two_sided_p,unrestricted_permutation_p_lower_or_equal,unrestricted_permutation_p_upper_or_equal,permutations_per_block_width,block_8_expected_overlap,block_8_p_lower_or_equal,block_8_p_upper_or_equal,block_12_expected_overlap,block_12_p_lower_or_equal,block_12_p_upper_or_equal,block_16_expected_overlap,block_16_p_lower_or_equal,block_16_p_upper_or_equal
global_q50,mean log1p score,0.5,True,0.0,1.6479185,3858,698,1919,245,347.1907724209435,0.7056639158109748,0.48009948280545733,9.417085061438603e-18,5.6326969229671494e-18,1.0,100000,294.01416342548305,9.99990000099999e-06,1.0,291.2457567111524,9.99990000099999e-06,1.0,322.66980744495845,9.99990000099999e-06,1.0
global_q75_primary,mean log1p score,0.75,True,0.0,2.6876392,3858,698,956,126,172.96215655780196,0.7284830537938641,0.6183756003033112,3.960290094879755e-06,1.925990266570806e-06,0.9999988321930566,100000,142.58070676435875,0.01110988890111099,0.9922400775992241,143.24834384490245,0.011209887901120989,0.992410075899241,157.78123456025187,1.999980000199998e-05,0.999990000099999
global_q80,mean log1p score,0.8,True,0.0,2.8617926,3858,698,770,103,139.31052358735096,0.7393554869199569,0.6470185075529462,0.00010581725311211522,5.944365968846207e-05,0.9999624772227715,100000,114.37335241808245,0.047549524504754956,0.965880341196588,116.36671848709737,0.03144968550314497,0.97770022299777,126.80222722264487,0.0009099909000909991,0.99940000599994
global_q85,mean log1p score,0.85,True,0.3465736,3.0456548,3858,240,577,10,35.89424572317263,0.2785961871750433,0.23395445134575568,6.055393278493881e-08,3.3918129327909375e-08,0.9999999923464913,100000,23.453958058849363,6.999930000699993e-05,0.999970000299997,25.219265056325487,9.99990000099999e-06,1.0,29.835426396786822,9.99990000099999e-06,1.0
global_q90,mean log1p score,0.9,True,0.3465736,3.2319013900000004,3858,240,386,7,24.01244167962675,0.29151554404145075,0.25675201286421234,3.040225311690381e-05,1.5521646226397978e-05,0.9999962209786433,100000,16.229084321475625,0.0013399866001339987,0.999690003099969,16.84276271058397,0.0012999870001299987,0.99970000299997,19.969684331212814,5.999940000599994e-05,0.999980000199998
z_gt_1,z score,,True,1.0,1.0,3858,698,818,112,147.9948159668222,0.7567832647942777,0.6643397886472846,0.00018396781052062834,9.968747881204075e-05,0.9999353936633404,100000,121.93135496660919,0.08017919820801792,0.940520594794052,123.99902261500276,0.05330946690533095,0.96050039499605,134.5214661114619,0.0016199838001619985,0.998960010399896
