cell_type,histology,n_shared_snps,PP0,PP1,PP2,PP3,PP4,PP4_over_PP3_plus_PP4
Intermediate B cells,LUSC,3176,2.484381070873669e-05,0.5279136688986493,4.974300165883281e-06,0.1053336901114028,0.3667228228790734,0.7768621188083725
Intermediate B cells,LUAD,3176,3.821483493607074e-05,0.8120386181481754,7.170837276017693e-06,0.1523397199228259,0.0355762762567865,0.1893201056858529
Memory B cells,LUSC,3085,0.0080085955945731,0.5136069324186114,0.001555806592464,0.0993994970049809,0.3774291683893703,0.7915404332439313
Memory B cells,LUAD,3085,0.0124799932560396,0.800366428438829,0.0023114568728095,0.1482016192328895,0.0366405021994322,0.1982259341945924
